country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",12-04-2025 09:00,26.0881305,87.93840336,OZONE,18,20,19
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",12-04-2025 09:00,27.308328,84.531742,SO2,6,7,6
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",12-04-2025 09:00,25.592539,85.227158,NO2,5,12,8
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",12-04-2025 09:00,25.610369,85.132568,SO2,NA,NA,NA
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",12-04-2025 09:00,25.610369,85.132568,CO,32,64,64
India,Bihar,Patna,"Muradpur, Patna - BSPCB",12-04-2025 09:00,25.619651,85.147382,PM2.5,50,92,71
India,Bihar,Patna,"Muradpur, Patna - BSPCB",12-04-2025 09:00,25.619651,85.147382,NH3,1,36,4
India,Bihar,Patna,"Muradpur, Patna - BSPCB",12-04-2025 09:00,25.619651,85.147382,SO2,6,10,7
India,Bihar,Patna,"Muradpur, Patna - BSPCB",12-04-2025 09:00,25.619651,85.147382,OZONE,6,41,16
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",12-04-2025 09:00,25.599486,85.113666,PM2.5,33,85,49
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",12-04-2025 09:00,21.194815,81.31477,CO,13,70,23
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",12-04-2025 09:00,21.185571,81.343175,CO,4,114,34
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",12-04-2025 09:00,21.224231,81.40835,OZONE,16,37,19
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",12-04-2025 09:00,22.08815,82.13737,PM2.5,36,65,47
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",12-04-2025 09:00,22.08815,82.13737,NO2,22,92,34
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",12-04-2025 09:00,22.118125,83.140608,PM2.5,14,80,35
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",12-04-2025 09:00,28.4706914,77.1099364,PM10,NA,NA,NA
India,Delhi,Delhi,"Bawana, Delhi - DPCC",12-04-2025 09:00,28.7762,77.051074,NO2,10,34,24
India,Delhi,Delhi,"Bawana, Delhi - DPCC",12-04-2025 09:00,28.7762,77.051074,NH3,8,11,9
India,Delhi,Delhi,"Bawana, Delhi - DPCC",12-04-2025 09:00,28.7762,77.051074,OZONE,7,131,11
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",12-04-2025 09:00,28.656756,77.227234,PM2.5,87,146,117
India,Delhi,Delhi,"DTU, Delhi - CPCB",12-04-2025 09:00,28.7500499,77.1112615,PM10,38,500,131
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",12-04-2025 09:00,22.348441,82.549611,NO2,80,92,85
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",12-04-2025 09:00,22.12665,83.483212,PM2.5,29,80,51
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",12-04-2025 09:00,22.12665,83.483212,NO2,26,46,34
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",12-04-2025 09:00,22.12665,83.483212,CO,24,43,33
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",12-04-2025 09:00,22.1910172,83.5197009,OZONE,NA,NA,NA
India,Delhi,Delhi,"Alipur, Delhi - DPCC",12-04-2025 09:00,28.815329,77.15301,PM10,24,171,103
